1,  001ms
2,  001ms
3,  001ms
4,  002ms
5,  030ms
6,  001ms
7,  001ms
8,  003ms
9,  008ms
10, 001ms
11, 005ms
12, 008ms
13, 001ms
14, 002ms
15, 099ms
16, 001ms
17, 002ms
18, 012ms
19, 752ms
20, 004ms
21, 002ms
22, 007ms
23, 123ms
24, 001ms
25, 055ms
